날짜,종가,시가,고가,저가,거래량,변동 %,일간수익률,누적수익률,5일이동평균,20일이동평균,60일이동평균,연환산변동성,고점,낙폭
2002-09-06,893.9,879.1,899.1,879.1,,1.68,0.016835399840746224,-0.38572017592083385,892.1,919.765,925.4666666666667,0.24228472791448127,1527.5,-0.4147954173486088
2002-09-09,903.0,893.9,907.3,882.9,,1.02,0.010180109631949819,-0.3794667399670131,889.4799999999999,919.485,923.69,0.242485166129571,1527.5,-0.4088379705400982
2002-09-10,909.6,903.0,909.9,900.5,,0.73,0.0073089700996678,-0.37493128092358263,895.8,919.775,922.0616666666666,0.2426202128533912,1527.5,-0.4045171849427168
2002-09-11,909.5,910.6,924.0,908.5,,-0.01,-0.00010993843447670848,-0.3749999999999982,899.0200000000001,921.04,919.95,0.24262087337900884,1527.5,-0.404582651391162
2002-09-12,886.9,909.5,909.5,884.8,,-2.48,-0.024848818031885656,-0.39053051126992677,900.5799999999999,919.405,917.4466666666667,0.24285645521458815,1527.5,-0.4193780687397709
2002-09-13,889.8,886.9,892.8,877.0,,0.33,0.0032698162137783093,-0.38853765805387397,899.76,917.385,915.2766666666668,0.24222607851491929,1527.5,-0.4174795417348609
2002-09-16,891.1,889.8,891.8,878.9,,0.15,0.0014610024724657222,-0.38764431006047095,897.3799999999999,915.5,913.3566666666667,0.2421382405703287,1527.5,-0.4166284779050736
2002-09-17,873.5,891.1,902.7,872.4,,-1.98,-0.019750869711592456,-0.39973886750961884,890.1600000000001,911.64,911.4300000000001,0.237979723302231,1527.5,-0.4281505728314239
2002-09-18,869.5,873.5,878.5,857.4,,-0.46,-0.004579278763594763,-0.40248763056624337,882.1600000000001,908.2449999999999,909.3766666666667,0.23795434602821514,1527.5,-0.4307692307692308
2002-09-19,843.3,869.5,869.5,843.1,,-3.01,-0.030132259919493976,-0.4204920285871341,873.4399999999999,902.9400000000002,907.1633333333333,0.23928545247456867,1527.5,-0.44792144026186587
2002-09-20,845.4,843.3,849.3,839.1,,0.25,0.0024902170046248173,-0.4190489279824061,864.5599999999998,897.075,905.0283333333333,0.23734046726834404,1527.5,-0.4465466448445172
2002-09-23,833.7,845.4,845.4,825.8,,-1.38,-0.013839602555003494,-0.4270890599230328,853.0799999999999,891.7149999999999,902.4133333333334,0.23699276281541662,1527.5,-0.4542062193126023
